Player Id,Event Type,Object Type,Object Id,Position,Time Elapsed,Causer Type,Causer Id
9000,fire_hit,tree,102,(12:12),1,,
9000,wet,virus,2,(12:12),2,,
9000,burning,tree,102,(12:12),3,,
9000,cold_hit,virus,2,(12:12),4,,
9000,frozen,virus,2,(12:12),5,,
9000,death,virus,2,(12:12),6,,
9000,basic_hit,virus,2,(12:12),6,,
9000,heating,boulder,101,(12:12),8,tree,102
9000,fire_hit,boulder,101,(12:12),9,,
9000,heating,boulder,101,(12:12),10,,
9000,death,bacteria,1,(12:12),12,,
9000,explosion_hit,bacteria,1,(12:12),12,boulder,101
42,wet,enemy_4,50,(12:12),1,,
42,wet,enemy_4,51,(12:12),1.222,,
42,death,enemy_4,51,(12:12),1.888,,
42,basic_hit,enemy_4,51,(12:12),1.888,,
42,wet,enemy_4,52,(12:12),2,,
42,death,enemy_4,52,(12:12),3,,
42,basic_hit,enemy_4,52,(12:12),3,,
42,wet,enemy_4,53,(12:12),4,,
42,death,enemy_4,53,(12:12),5,,
42,basic_hit,enemy_4,53,(12:12),5,,
42,fire_hit,tree,7577543,(12:12),6,,
42,burning,enemy_4,50,(12:12),7,tree,7577543
1000,basic_hit,virus,777,(12:12),1,,
2000,electrified,virus,2777,(12:12),1,,
1000,basic_hit,bacteria,888,(12:12),2,,
2000,death,virus,2777,(12:12),2,,
1000,basic_hit,virus,777,(12:12),3,,
2000,basic_hit,virus,2777,(12:12),3,,
1000,basic_hit,bacteria,888,(12:12),4,,
2000,on_fire,virus,2777,(12:12),4,,
1000,death,virus,777,(12:12),5,,
2000,explosion_hit,virus,2777,(12:12),5,,
1000,death,bacteria,888,(12:12),6,,
2000,death,virus,2777,(12:12),6,,
36,burning,tree,76,(12:12),1,,
36,heating,boulder,77,(12:12),2,tree,76
36,basic_hit,virus,78,(12:12),3,,
36,basic_hit,virus,78,(12:12),4,,
36,explosion_hit,virus,78,(12:12),5,boulder,77
36,wet,virus,78,(12:12),6,,
36,electrified,virus,78,(12:12),7,,
36,basic_hit,bacteria,646464,(12:12),8,,
36,spike_hit,bacteria,646464,(12:12),9,,
36,basic_hit,bacteria,646464,(12:12),10,,
36,basic_hit,bacteria,646464,(12:12),11,,
36,basic_hit,bacteria,646464,(12:12),12,,
36,basic_hit,bacteria,646464,(12:12),13,,
36,death,bacteria,646464,(12:12),14,,
36,frozen,virus,78,(12:12),15,,
36,death,virus,78,(12:12),16,,
dummy_no_death,frozen,virus ,1,(12:12),1,,
dummy_1_death,frozen,virus,1,(12:12),1,,
dummy_1_death,death,virus,1,(12:12),2,,
